# Forces     
# CofR       : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous) moment(pressure viscous porous)
17           	((-6.907493e+02 -4.908734e+02 2.059251e-18) (1.971104e+00 8.737354e-02 1.547092e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.454367e+02 3.453747e+02 -6.399651e+02) (4.368677e-02 -9.855521e-01 -2.047026e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
18           	((-6.185897e+02 6.165956e+02 1.069620e-18) (1.892517e+00 3.672247e-01 1.335297e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.082978e+02 3.092949e+02 -2.393692e+02) (1.836124e-01 -9.462586e-01 -1.056732e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
19           	((-4.781216e+02 2.211987e+03 -7.448853e-19) (1.822294e+00 4.798340e-01 -4.023667e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.105994e+03 2.390608e+02 3.580200e+02) (2.399170e-01 -9.111469e-01 -4.812524e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
20           	((-3.947298e+02 2.926784e+03 -1.584578e-18) (1.730149e+00 3.815609e-01 -7.124372e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.463392e+03 1.973649e+02 6.343233e+02) (1.907805e-01 -8.650743e-01 -5.913688e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
21           	((-4.052615e+02 2.568445e+03 -8.932327e-19) (1.637530e+00 2.125932e-01 -3.842869e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.284223e+03 2.026307e+02 5.054537e+02) (1.062966e-01 -8.187652e-01 -1.017508e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
22           	((-4.574244e+02 1.893349e+03 4.210589e-19) (1.553617e+00 1.126642e-01 -1.710860e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.466746e+02 2.287122e+02 2.447186e+02) (5.633209e-02 -7.768085e-01 -1.243846e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
23           	((-4.989552e+02 1.445751e+03 1.492621e-18) (1.479044e+00 1.265383e-01 2.295595e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.228753e+02 2.494776e+02 7.475846e+01) (6.326916e-02 -7.395222e-01 -1.102947e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
24           	((-4.971264e+02 1.488461e+03 1.702678e-18) (1.413873e+00 1.906533e-01 1.740768e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.442307e+02 2.485632e+02 1.019282e+02) (9.532667e-02 -7.069366e-01 -7.610435e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
25           	((-4.700160e+02 1.661658e+03 1.534889e-18) (1.357327e+00 2.281039e-01 2.070033e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.308288e+02 2.350080e+02 1.957264e+02) (1.140520e-01 -6.786635e-01 -4.840382e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
26           	((-4.344477e+02 1.769357e+03 1.300132e-18) (1.293423e+00 2.024574e-01 6.085201e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.846787e+02 2.172239e+02 2.718893e+02) (1.012287e-01 -6.467114e-01 -3.833468e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
27           	((-4.028436e+02 1.758633e+03 1.189560e-18) (1.232627e+00 1.416891e-01 8.477873e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.793165e+02 2.014218e+02 2.964747e+02) (7.084457e-02 -6.163136e-01 -4.340882e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
28           	((-3.798254e+02 1.701213e+03 1.248965e-18) (1.176458e+00 8.561874e-02 -3.966970e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.506066e+02 1.899127e+02 2.855019e+02) (4.280937e-02 -5.882291e-01 -4.877868e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
29           	((-3.634330e+02 1.690700e+03 1.390627e-18) (1.133078e+00 6.098012e-02 -1.307047e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.453501e+02 1.817165e+02 2.750224e+02) (3.049006e-02 -5.665392e-01 -4.471686e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
30           	((-3.490511e+02 1.746407e+03 1.484272e-18) (1.094105e+00 5.982390e-02 -1.034539e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.732033e+02 1.745255e+02 2.832805e+02) (2.991195e-02 -5.470527e-01 -3.111922e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
31           	((-3.334949e+02 1.820521e+03 1.440081e-18) (1.061930e+00 5.872340e-02 -5.828766e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.102606e+02 1.667474e+02 3.023629e+02) (2.936170e-02 -5.309651e-01 -1.539424e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
32           	((-3.161739e+02 1.840304e+03 1.271291e-18) (1.037752e+00 4.443373e-02 -7.223573e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.201521e+02 1.580869e+02 3.118007e+02) (2.221686e-02 -5.188762e-01 -5.288346e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
33           	((-2.965858e+02 1.776475e+03 1.054891e-18) (1.016932e+00 1.546413e-02 -6.773408e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.882376e+02 1.482929e+02 3.004563e+02) (7.732063e-03 -5.084662e-01 -1.316631e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
34           	((-2.747233e+02 1.662539e+03 8.412161e-19) (9.964734e-01 -2.112606e-02 6.481768e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.312693e+02 1.373616e+02 2.753520e+02) (-1.056303e-02 -4.982367e-01 1.584698e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
35           	((-2.515756e+02 1.565328e+03 6.271571e-19) (9.819317e-01 -4.501194e-02 4.049189e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.826642e+02 1.257878e+02 2.546182e+02) (-2.250597e-02 -4.909658e-01 5.255584e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
36           	((-2.288853e+02 1.531582e+03 3.895048e-19) (9.670541e-01 -5.645846e-02 -1.004823e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.657908e+02 1.144427e+02 2.515589e+02) (-2.822923e-02 -4.835271e-01 1.169547e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
37           	((-2.073739e+02 1.562343e+03 1.109672e-19) (9.585999e-01 -6.534968e-02 -5.400448e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.811713e+02 1.036870e+02 2.663364e+02) (-3.267484e-02 -4.793000e-01 2.004232e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
38           	((-1.867297e+02 1.623801e+03 -1.977815e-19) (9.598149e-01 -7.375804e-02 -8.340756e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.119007e+02 9.336485e+01 2.882875e+02) (-3.687902e-02 -4.799075e-01 2.628488e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
39           	((-1.524662e+02 1.667255e+03 2.421359e-20) (9.683682e-01 -8.379807e-02 -5.779516e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.336277e+02 7.623312e+01 3.029142e+02) (-4.189904e-02 -4.841841e-01 2.896710e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
40           	((-1.369448e+02 1.672992e+03 -3.299834e-19) (9.815610e-01 -9.458975e-02 -6.112935e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.364961e+02 6.847242e+01 3.025203e+02) (-4.729488e-02 -4.907805e-01 2.932237e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
41           	((-1.138704e+02 1.638641e+03 -2.822472e-19) (9.971781e-01 -1.013387e-01 -2.786475e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.193203e+02 5.693521e+01 2.889146e+02) (-5.066935e-02 -4.985891e-01 2.879949e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
42           	((-9.605355e+01 1.577115e+03 -3.467949e-19) (1.014645e+00 -1.014643e-01 5.678219e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.885573e+02 4.802677e+01 2.669627e+02) (-5.073214e-02 -5.073227e-01 2.856401e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
43           	((-8.818976e+01 1.516477e+03 -6.555471e-19) (1.031136e+00 -9.625303e-02 -1.695677e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.582385e+02 4.409488e+01 2.463200e+02) (-4.812651e-02 -5.155681e-01 2.898198e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
44           	((-7.394227e+01 1.472959e+03 -6.760636e-19) (1.043222e+00 -8.942846e-02 -2.598792e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.364795e+02 3.697113e+01 2.342170e+02) (-4.471423e-02 -5.216109e-01 2.964625e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
45           	((-5.844947e+01 1.449724e+03 -6.930812e-19) (1.057566e+00 -8.548833e-02 -2.043558e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.248620e+02 2.922474e+01 2.306926e+02) (-4.274416e-02 -5.287831e-01 3.027729e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
46           	((-4.831927e+01 1.449121e+03 -8.672100e-19) (1.071346e+00 -8.312535e-02 -1.328781e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.245607e+02 2.415964e+01 2.341855e+02) (-4.156268e-02 -5.356728e-01 3.009646e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
47           	((-3.141955e+01 1.459779e+03 -8.137334e-19) (1.084929e+00 -8.140451e-02 3.481853e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.298893e+02 1.570977e+01 2.407321e+02) (-4.070226e-02 -5.424643e-01 2.929781e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
48           	((-1.579545e+01 1.473273e+03 -8.093326e-19) (1.102406e+00 -7.825558e-02 3.605700e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.366366e+02 7.897724e+00 2.458203e+02) (-3.912779e-02 -5.512031e-01 2.806348e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
49           	((-8.652564e+00 1.478194e+03 -9.802327e-19) (1.120333e+00 -7.198249e-02 2.278018e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.390969e+02 4.326282e+00 2.457425e+02) (-3.599125e-02 -5.601664e-01 2.647073e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
50           	((-2.585716e+00 1.474372e+03 -1.118953e-18) (1.135472e+00 -6.375685e-02 1.118659e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.371860e+02 1.292858e+00 2.418438e+02) (-3.187842e-02 -5.677358e-01 2.485144e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
51           	((9.419176e+00 1.456774e+03 -1.045886e-18) (1.149618e+00 -5.480468e-02 1.162205e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.283868e+02 -4.709588e+00 2.342217e+02) (-2.740234e-02 -5.748088e-01 2.324003e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
52           	((1.573830e+01 1.436193e+03 -1.103125e-18) (1.163801e+00 -4.565571e-02 -7.623098e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.180967e+02 -7.869148e+00 2.275711e+02) (-2.282786e-02 -5.819005e-01 2.159301e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
53           	((2.169910e+01 1.413660e+03 -1.121960e-18) (1.174584e+00 -3.692957e-02 -2.447801e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.068298e+02 -1.084955e+01 2.227668e+02) (-1.846479e-02 -5.872922e-01 2.001106e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
54           	((2.709667e+01 1.393388e+03 -1.114781e-18) (1.183396e+00 -2.887780e-02 -2.389246e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.966941e+02 -1.354833e+01 2.209228e+02) (-1.443890e-02 -5.916981e-01 1.866466e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
55           	((3.175144e+01 1.379915e+03 -1.100506e-18) (1.190686e+00 -2.118927e-02 -3.111863e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.899577e+02 -1.587572e+01 2.226145e+02) (-1.059463e-02 -5.953432e-01 1.755133e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
56           	((3.554146e+01 1.376128e+03 -1.094456e-18) (1.196943e+00 -1.371644e-02 -3.792615e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.880641e+02 -1.777073e+01 2.274656e+02) (-6.858220e-03 -5.984716e-01 1.657957e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
57           	((3.869128e+01 1.380700e+03 -1.100993e-18) (1.202993e+00 -6.610946e-03 -3.707047e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.903499e+02 -1.934564e+01 2.340140e+02) (-3.305473e-03 -6.014963e-01 1.565110e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
58           	((4.170949e+01 1.387822e+03 -1.115194e-18) (1.208564e+00 3.613683e-04 -2.102920e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.939108e+02 -2.085475e+01 2.402337e+02) (1.806841e-04 -6.042819e-01 1.459975e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
59           	((4.504584e+01 1.391185e+03 -1.130975e-18) (1.214130e+00 7.966427e-03 -1.050846e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.955923e+02 -2.252292e+01 2.447383e+02) (3.983214e-03 -6.070650e-01 1.321815e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
60           	((4.877508e+01 1.386271e+03 -1.141906e-18) (1.218706e+00 1.477544e-02 2.164109e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.931354e+02 -2.438754e+01 2.471085e+02) (7.387722e-03 -6.093532e-01 1.196505e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
61           	((5.252467e+01 1.371153e+03 -1.150744e-18) (1.222243e+00 2.054660e-02 1.742132e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.855767e+02 -2.626234e+01 2.473966e+02) (1.027330e-02 -6.111215e-01 1.099092e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
62           	((5.568913e+01 1.346848e+03 -1.158560e-18) (1.225054e+00 2.550169e-02 1.258942e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.734240e+02 -2.784457e+01 2.460915e+02) (1.275085e-02 -6.125270e-01 1.027963e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
63           	((5.759049e+01 1.317420e+03 -1.165176e-18) (1.229092e+00 3.138198e-02 2.107300e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.587102e+02 -2.879525e+01 2.439981e+02) (1.569099e-02 -6.145461e-01 9.322158e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
64           	((5.796009e+01 1.287732e+03 -1.170789e-18) (1.233067e+00 3.605819e-02 1.297555e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.438658e+02 -2.898005e+01 2.419220e+02) (1.802909e-02 -6.165334e-01 8.612152e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
65           	((5.712492e+01 1.260011e+03 -1.178694e-18) (1.237041e+00 3.916297e-02 1.070957e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.300053e+02 -2.856246e+01 2.400726e+02) (1.958148e-02 -6.185207e-01 8.150118e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
66           	((5.577571e+01 1.233672e+03 -1.192190e-18) (1.240797e+00 4.161872e-02 9.675401e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.168361e+02 -2.788785e+01 2.381101e+02) (2.080936e-02 -6.203984e-01 7.684427e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
67           	((5.425313e+01 1.206332e+03 -1.200537e-18) (1.243644e+00 4.318341e-02 9.740900e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.031658e+02 -2.712656e+01 2.352098e+02) (2.159170e-02 -6.218222e-01 7.307474e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
68           	((5.280573e+01 1.176005e+03 -1.195983e-18) (1.246473e+00 4.532868e-02 1.691705e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.880027e+02 -2.640286e+01 2.305984e+02) (2.266434e-02 -6.232363e-01 6.677636e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
69           	((5.132089e+01 1.143205e+03 -1.178809e-18) (1.248924e+00 4.704544e-02 2.849714e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.716024e+02 -2.566045e+01 2.242129e+02) (2.352272e-02 -6.244622e-01 6.104349e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
70           	((4.941429e+01 1.110265e+03 -1.157269e-18) (1.250875e+00 4.840546e-02 3.152203e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.551325e+02 -2.470714e+01 2.167557e+02) (2.420273e-02 -6.254373e-01 5.636796e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
71           	((4.685987e+01 1.079204e+03 -1.130444e-18) (1.252068e+00 4.957463e-02 4.267802e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.396021e+02 -2.342993e+01 2.090560e+02) (2.478731e-02 -6.260342e-01 5.272381e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
